STATISTICS FOR VAR:RAIN DOMAIN:AIMRR PERIOD:JJAS DATA_TYPE:1m MASK:SEA+HIGH
tr025_ra12L60     0.895722      0.00000
      16.0521     0.890459
     0.649483      0.00000
tr12_bmj01ml60     0.925371      0.00000
      16.8294     0.783637
     0.703634      0.00000
OK
STATISTICS FOR VAR:SKT DOMAIN:AIMRR PERIOD:JJAS DATA_TYPE:1m MASK:SEA
EXP CORR1D BIAS(%) RMSE CORR2D
tr075_ra12L60     0.989274      0.00000
      15.8298      3.17419
     0.953403      0.00000
tr025_ra12L60     0.991234      0.00000
      13.4055      2.80306
     0.947718      0.00000
tr12_bmj01ml60     0.990219      0.00000
      14.7643      2.93565
     0.942448      0.00000
OK
STATISTICS FOR VAR:Q2 DOMAIN:AIMRR PERIOD:JJAS DATA_TYPE:1m MASK:SEA
EXP CORR1D BIAS(%) RMSE CORR2D
tr075_ra12L60     0.971363      0.00000
     -17.6414      1.71773
     0.850089      0.00000
tr025_ra12L60     0.977067      0.00000
     -17.8973      1.69203
     0.911538      0.00000
tr12_bmj01ml60     0.980548      0.00000
     -17.8889      1.67506
     0.921621      0.00000
OK
STATISTICS FOR VAR:T2 DOMAIN:AIMRR PERIOD:JJAS DATA_TYPE:1m MASK:SEA
EXP CORR1D BIAS(%) RMSE CORR2D
tr075_ra12L60     0.986215      0.00000
      2.45352      1.77274
     0.981308      0.00000
tr025_ra12L60     0.988708      0.00000
    -0.113467      1.57260
     0.976707      0.00000
tr12_bmj01ml60     0.987110      0.00000
     0.685437      1.51795
     0.969627      0.00000
OK
STATISTICS FOR VAR:RAIN DOMAIN:AIMRR PERIOD:JJA DATA_TYPE:1m MASK:SEA
EXP CORR1D BIAS(%) RMSE CORR2D
tr075_ra12L60     0.834638      0.00000
      13.3721      1.05386
     0.359882      0.00000
tr025_ra12L60     0.895722      0.00000
      16.0521     0.890459
     0.642870      0.00000
tr12_bmj01ml60     0.925371      0.00000
      16.8294     0.783637
     0.678502      0.00000
OK
STATISTICS FOR VAR:SKT DOMAIN:AIMRR PERIOD:JJA DATA_TYPE:1m MASK:SEA
EXP CORR1D BIAS(%) RMSE CORR2D
tr075_ra12L60     0.989274      0.00000
      15.8298      3.17419
     0.946651      0.00000
tr025_ra12L60     0.991234      0.00000
      13.4055      2.80306
     0.938985      0.00000
tr12_bmj01ml60     0.990219      0.00000
      14.7643      2.93565
     0.934547      0.00000
OK
STATISTICS FOR VAR:Q2 DOMAIN:AIMRR PERIOD:JJA DATA_TYPE:1m MASK:SEA
EXP CORR1D BIAS(%) RMSE CORR2D
tr075_ra12L60     0.971363      0.00000
     -17.6414      1.71773
     0.850490      0.00000
tr025_ra12L60     0.977067      0.00000
     -17.8973      1.69203
     0.906449      0.00000
tr12_bmj01ml60     0.980548      0.00000
     -17.8889      1.67506
     0.918264      0.00000
OK
STATISTICS FOR VAR:T2 DOMAIN:AIMRR PERIOD:JJA DATA_TYPE:1m MASK:SEA
EXP CORR1D BIAS(%) RMSE CORR2D
tr075_ra12L60     0.986215      0.00000
      2.45352      1.77274
     0.978437      0.00000
tr025_ra12L60     0.988708      0.00000
    -0.113467      1.57260
     0.973418      0.00000
